date,country,country_name,area,region,values.Retail & recreation,values.Grocery & pharmacy,values.Parks,values.Transit stations,values.Workplace,values.Residential
2020-03-29,US,United States,Texas,Crosby County,n/a,-15%,n/a,n/a,-35%,n/a
2020-03-29,US,United States,Texas,Culberson County,-46%,n/a,n/a,-30%,n/a,n/a
2020-03-29,US,United States,Texas,Dallam County,-34%,-12%,n/a,n/a,-10%,n/a
2020-03-29,US,United States,Texas,Dallas County,-45%,-21%,-24%,-45%,-38%,+14%
2020-03-29,US,United States,Texas,Dawson County,-36%,-10%,n/a,n/a,-26%,n/a
2020-03-29,US,United States,Texas,DeWitt County,-30%,-22%,n/a,n/a,-19%,n/a
2020-03-29,US,United States,Texas,Deaf Smith County,-24%,-12%,n/a,-13%,-18%,n/a
2020-03-29,US,United States,Texas,Delta County,n/a,n/a,n/a,n/a,-37%,n/a
2020-03-29,US,United States,Texas,Denton County,-47%,-27%,+1%,-30%,-42%,+14%
2020-03-29,US,United States,Texas,Dimmit County,-19%,-17%,n/a,-34%,-30%,n/a
2020-03-29,US,United States,Texas,Donley County,n/a,n/a,n/a,+9%,n/a,n/a
2020-03-29,US,United States,Texas,Duval County,-46%,-28%,n/a,n/a,-36%,n/a
2020-03-29,US,United States,Texas,Eastland County,-31%,-15%,n/a,-27%,-28%,n/a
2020-03-29,US,United States,Texas,Ector County,-32%,-5%,n/a,-8%,-24%,+10%
2020-03-29,US,United States,Texas,El Paso County,-50%,-25%,-65%,-40%,-37%,+15%
2020-03-29,US,United States,Texas,Ellis County,-35%,-18%,+4%,-33%,-34%,+13%
2020-03-29,US,United States,Texas,Erath County,-47%,-32%,n/a,n/a,-25%,+10%
2020-03-29,US,United States,Texas,Falls County,-19%,-13%,n/a,n/a,-10%,n/a
2020-03-29,US,United States,Texas,Fannin County,-11%,-2%,n/a,n/a,-25%,+11%
2020-03-29,US,United States,Texas,Fayette County,-35%,-25%,n/a,-33%,-17%,n/a
2020-03-29,US,United States,Texas,Floyd County,n/a,n/a,n/a,n/a,-28%,n/a
2020-03-29,US,United States,Texas,Fort Bend County,-49%,-26%,-2%,-26%,-41%,+15%
2020-03-29,US,United States,Texas,Franklin County,-33%,+4%,n/a,-23%,-24%,n/a
2020-03-29,US,United States,Texas,Freestone County,-52%,-4%,n/a,-41%,-22%,n/a
2020-03-29,US,United States,Texas,Frio County,-21%,-22%,n/a,-27%,-19%,n/a
2020-03-29,US,United States,Texas,Gaines County,-28%,-8%,n/a,n/a,-20%,n/a
2020-03-29,US,United States,Texas,Galveston County,-42%,-15%,-29%,-57%,-35%,+12%
2020-03-29,US,United States,Texas,Garza County,-31%,-13%,n/a,n/a,n/a,n/a
2020-03-29,US,United States,Texas,Gillespie County,-46%,-25%,-38%,n/a,-36%,n/a
2020-03-29,US,United States,Texas,Goliad County,-54%,-38%,n/a,n/a,-32%,n/a
2020-03-29,US,United States,Texas,Gonzales County,-30%,-13%,-19%,n/a,-20%,n/a
2020-03-29,US,United States,Texas,Gray County,-33%,-10%,n/a,n/a,-26%,n/a
2020-03-29,US,United States,Texas,Grayson County,-33%,-9%,+47%,n/a,-29%,+9%
2020-03-29,US,United States,Texas,Gregg County,-43%,-21%,+2%,n/a,-31%,+11%
2020-03-29,US,United States,Texas,Grimes County,-17%,-3%,n/a,n/a,-21%,+0%
2020-03-29,US,United States,Texas,Guadalupe County,-34%,-24%,-1%,-23%,-37%,+12%
2020-03-29,US,United States,Texas,Hale County,-29%,-13%,n/a,n/a,-27%,+11%
2020-03-29,US,United States,Texas,Hall County,n/a,n/a,n/a,-13%,n/a,n/a
2020-03-29,US,United States,Texas,Hamilton County,-41%,-32%,n/a,n/a,-22%,n/a
2020-03-29,US,United States,Texas,Hardeman County,n/a,-24%,n/a,-16%,n/a,n/a
2020-03-29,US,United States,Texas,Hardin County,-45%,-13%,n/a,n/a,-32%,+16%
2020-03-29,US,United States,Texas,Harris County,-46%,-23%,-22%,-58%,-38%,+14%
2020-03-29,US,United States,Texas,Harrison County,-28%,-7%,-16%,n/a,-31%,+15%
2020-03-29,US,United States,Texas,Hartley County,n/a,-4%,n/a,n/a,n/a,n/a
2020-03-29,US,United States,Texas,Haskell County,-16%,-22%,n/a,n/a,n/a,n/a
2020-03-29,US,United States,Texas,Hays County,-46%,-22%,-23%,-19%,-36%,+13%
2020-03-29,US,United States,Texas,Henderson County,-30%,-3%,-22%,n/a,-28%,+9%
2020-03-29,US,United States,Texas,Hidalgo County,-63%,-43%,-74%,-64%,-43%,+18%
2020-03-29,US,United States,Texas,Hill County,-35%,-8%,n/a,-41%,-25%,+13%
2020-03-29,US,United States,Texas,Hockley County,-23%,-15%,n/a,n/a,-17%,-3%
2020-03-29,US,United States,Texas,Hood County,-34%,-7%,-36%,n/a,-35%,+16%
2020-03-29,US,United States,Texas,Hopkins County,-31%,+4%,n/a,-22%,-27%,+11%
2020-03-29,US,United States,Texas,Houston County,-22%,+5%,n/a,n/a,-21%,n/a
2020-03-29,US,United States,Texas,Howard County,-35%,-19%,n/a,-32%,-24%,+14%
2020-03-29,US,United States,Texas,Hunt County,-33%,-15%,-5%,-23%,-33%,+10%
2020-03-29,US,United States,Texas,Hutchinson County,-19%,-13%,n/a,n/a,-11%,n/a
2020-03-29,US,United States,Texas,Jack County,-9%,n/a,n/a,n/a,-26%,n/a
2020-03-29,US,United States,Texas,Jackson County,-21%,-19%,n/a,-44%,-21%,n/a
2020-03-29,US,United States,Texas,Jasper County,-36%,-24%,+25%,n/a,-30%,+6%
2020-03-29,US,United States,Texas,Jefferson County,-49%,-22%,+4%,-35%,-33%,+12%
2020-03-29,US,United States,Texas,Jim Hogg County,n/a,-29%,n/a,n/a,n/a,n/a
2020-03-29,US,United States,Texas,Jim Wells County,-38%,-22%,n/a,n/a,-28%,+14%
2020-03-29,US,United States,Texas,Johnson County,-33%,-18%,+19%,n/a,-31%,+11%
2020-03-29,US,United States,Texas,Jones County,-36%,-8%,n/a,n/a,-18%,n/a
2020-03-29,US,United States,Texas,Karnes County,-31%,-24%,n/a,-46%,-19%,n/a
2020-03-29,US,United States,Texas,Kaufman County,-46%,-22%,-26%,-18%,-38%,+12%
2020-03-29,US,United States,Texas,Kendall County,-38%,-25%,-61%,-31%,-38%,+14%
2020-03-29,US,United States,Texas,Kerr County,-32%,-18%,+19%,n/a,-30%,+14%
2020-03-29,US,United States,Texas,Kimble County,-35%,n/a,n/a,-24%,n/a,n/a
2020-03-29,US,United States,Texas,Kleberg County,-42%,-36%,-71%,-56%,-28%,+16%
2020-03-29,US,United States,Texas,La Salle County,-54%,-23%,n/a,-40%,n/a,n/a
2020-03-29,US,United States,Texas,Lamar County,-24%,-6%,n/a,-20%,-13%,+12%
2020-03-29,US,United States,Texas,Lamb County,-40%,-17%,n/a,n/a,-22%,n/a
2020-03-29,US,United States,Texas,Lampasas County,-30%,-27%,n/a,n/a,-38%,n/a
2020-03-29,US,United States,Texas,Lavaca County,+133%,-11%,n/a,n/a,-18%,n/a
2020-03-29,US,United States,Texas,Lee County,-33%,-37%,n/a,n/a,-22%,n/a
2020-03-29,US,United States,Texas,Leon County,-51%,-23%,n/a,-26%,-32%,n/a
2020-03-29,US,United States,Texas,Liberty County,-38%,-2%,n/a,-14%,-28%,+11%
2020-03-29,US,United States,Texas,Limestone County,-26%,-15%,n/a,n/a,-24%,n/a
2020-03-29,US,United States,Texas,Live Oak County,-68%,-35%,n/a,-52%,-39%,n/a
2020-03-29,US,United States,Texas,Llano County,-26%,-3%,+10%,n/a,-32%,n/a
2020-03-29,US,United States,Texas,Loving County,n/a,-58%,n/a,n/a,n/a,n/a
2020-03-29,US,United States,Texas,Lubbock County,-37%,-14%,+17%,-36%,-28%,+10%
2020-03-29,US,United States,Texas,Lynn County,n/a,n/a,n/a,n/a,-24%,n/a
2020-03-29,US,United States,Texas,Madison County,-36%,-63%,n/a,n/a,-29%,n/a
2020-03-29,US,United States,Texas,Marion County,-30%,-12%,n/a,n/a,-26%,n/a
2020-03-29,US,United States,Texas,Martin County,-12%,-13%,n/a,n/a,-32%,n/a
2020-03-29,US,United States,Texas,Matagorda County,-34%,-16%,n/a,n/a,-9%,+13%
2020-03-29,US,United States,Texas,Maverick County,-56%,-36%,-82%,-62%,-36%,+19%
2020-03-29,US,United States,Texas,McCulloch County,-27%,-10%,n/a,n/a,-14%,n/a
2020-03-29,US,United States,Texas,McLennan County,-43%,-22%,-12%,-34%,-34%,+10%
2020-03-29,US,United States,Texas,McMullen County,n/a,n/a,n/a,-50%,n/a,n/a
2020-03-29,US,United States,Texas,Medina County,-24%,-8%,-54%,-30%,-30%,+19%
2020-03-29,US,United States,Texas,Midland County,-41%,-19%,-45%,-24%,-25%,+12%
2020-03-29,US,United States,Texas,Milam County,-35%,-20%,n/a,n/a,-27%,n/a
2020-03-29,US,United States,Texas,Mitchell County,-35%,-14%,-70%,n/a,-26%,n/a
2020-03-29,US,United States,Texas,Montague County,-21%,-18%,n/a,n/a,-30%,n/a
2020-03-29,US,United States,Texas,Montgomery County,-47%,-24%,+0%,-26%,-38%,+13%
2020-03-29,US,United States,Texas,Moore County,-27%,-12%,n/a,-7%,-15%,-1%
2020-03-29,US,United States,Texas,Morris County,-15%,-9%,n/a,n/a,-30%,n/a
2020-03-29,US,United States,Texas,Nacogdoches County,-36%,-3%,-17%,-43%,-24%,+15%
2020-03-29,US,United States,Texas,Navarro County,-40%,-18%,-7%,-40%,-32%,+16%
2020-03-29,US,United States,Texas,Newton County,n/a,+0%,n/a,n/a,-35%,n/a
2020-03-29,US,United States,Texas,Nolan County,-36%,-10%,n/a,-31%,-18%,n/a
2020-03-29,US,United States,Texas,Nueces County,-46%,-25%,-40%,-45%,-34%,+13%
2020-03-29,US,United States,Texas,Ochiltree County,-44%,-14%,n/a,n/a,-26%,n/a
2020-03-29,US,United States,Texas,Oldham County,n/a,n/a,n/a,-5%,n/a,n/a
2020-03-29,US,United States,Texas,Orange County,-35%,-18%,-38%,-37%,-32%,+11%
2020-03-29,US,United States,Texas,Palo Pinto County,-19%,-1%,n/a,-34%,-29%,+8%
2020-03-29,US,United States,Texas,Panola County,-21%,+0%,n/a,-22%,-28%,n/a
2020-03-29,US,United States,Texas,Parker County,-35%,-15%,+2%,-32%,-35%,+10%
2020-03-29,US,United States,Texas,Parmer County,n/a,-10%,n/a,n/a,-23%,n/a
2020-03-29,US,United States,Texas,Pecos County,-33%,-17%,n/a,-22%,-20%,n/a
2020-03-29,US,United States,Texas,Polk County,-36%,-14%,-7%,-41%,-36%,+10%
2020-03-29,US,United States,Texas,Potter County,-41%,-13%,+2%,-17%,-26%,+9%
2020-03-29,US,United States,Texas,Presidio County,-69%,-38%,n/a,n/a,-35%,n/a
2020-03-29,US,United States,Texas,Rains County,-22%,-8%,n/a,n/a,-20%,n/a
2020-03-29,US,United States,Texas,Randall County,-34%,-17%,-24%,n/a,-30%,+9%
2020-03-29,US,United States,Texas,Reagan County,n/a,-2%,n/a,-15%,n/a,n/a
2020-03-29,US,United States,Texas,Red River County,-2%,+16%,n/a,n/a,-23%,n/a
2020-03-29,US,United States,Texas,Reeves County,-39%,-19%,n/a,-8%,-12%,n/a
2020-03-29,US,United States,Texas,Refugio County,-67%,-43%,n/a,-43%,-31%,n/a
2020-03-29,US,United States,Texas,Robertson County,-38%,-16%,n/a,-32%,-16%,n/a
2020-03-29,US,United States,Texas,Rockwall County,-45%,-25%,n/a,-21%,-40%,+25%
2020-03-29,US,United States,Texas,Runnels County,-23%,-5%,n/a,n/a,-22%,n/a
2020-03-29,US,United States,Texas,Rusk County,-24%,-7%,n/a,n/a,-26%,+13%
2020-03-29,US,United States,Texas,Sabine County,-17%,+13%,n/a,n/a,-34%,n/a
2020-03-29,US,United States,Texas,San Augustine County,-62%,-9%,n/a,n/a,-34%,n/a
2020-03-29,US,United States,Texas,San Jacinto County,-31%,+7%,-42%,n/a,-29%,+5%
2020-03-29,US,United States,Texas,San Patricio County,-38%,-23%,-30%,-33%,-24%,+12%
2020-03-29,US,United States,Texas,San Saba County,-12%,n/a,n/a,n/a,n/a,n/a
2020-03-29,US,United States,Texas,Scurry County,-32%,-21%,n/a,n/a,-18%,n/a
2020-03-29,US,United States,Texas,Shelby County,-29%,-3%,n/a,n/a,-27%,n/a
2020-03-29,US,United States,Texas,Sherman County,n/a,n/a,n/a,+0%,n/a,n/a
2020-03-29,US,United States,Texas,Smith County,-52%,-28%,-21%,-36%,-34%,+13%
2020-03-29,US,United States,Texas,Somervell County,-37%,-6%,n/a,n/a,-34%,n/a
2020-03-29,US,United States,Texas,Starr County,-54%,-31%,-57%,n/a,-29%,+25%
2020-03-29,US,United States,Texas,Stephens County,-32%,n/a,n/a,n/a,-19%,n/a
2020-03-29,US,United States,Texas,Sutton County,-53%,-29%,n/a,n/a,n/a,n/a
2020-03-29,US,United States,Texas,Swisher County,n/a,-4%,n/a,n/a,-29%,n/a
2020-03-29,US,United States,Texas,Tarrant County,-48%,-20%,-16%,-71%,-36%,+13%
2020-03-29,US,United States,Texas,Taylor County,-34%,-14%,n/a,-7%,-25%,+9%
2020-03-29,US,United States,Texas,Terry County,-18%,-19%,n/a,n/a,-14%,n/a
2020-03-29,US,United States,Texas,Titus County,-28%,+2%,n/a,n/a,-21%,+11%
2020-03-29,US,United States,Texas,Tom Green County,-46%,-18%,+18%,n/a,-26%,+10%
2020-03-29,US,United States,Texas,Travis County,-54%,-29%,-19%,-72%,-44%,+15%
2020-03-29,US,United States,Texas,Trinity County,-42%,+9%,n/a,n/a,-26%,n/a
2020-03-29,US,United States,Texas,Tyler County,-45%,+11%,n/a,n/a,-32%,n/a
2020-03-29,US,United States,Texas,Upshur County,-24%,+2%,n/a,n/a,-31%,+15%
2020-03-29,US,United States,Texas,Upton County,n/a,-21%,n/a,n/a,n/a,n/a
2020-03-29,US,United States,Texas,Uvalde County,-43%,-31%,n/a,n/a,-28%,n/a
2020-03-29,US,United States,Texas,Val Verde County,-55%,-35%,-53%,n/a,-32%,+21%
2020-03-29,US,United States,Texas,Van Zandt County,-33%,-16%,+7%,-18%,-25%,+13%
2020-03-29,US,United States,Texas,Victoria County,-41%,-23%,-39%,-49%,-27%,+10%
2020-03-29,US,United States,Texas,Walker County,-42%,-17%,-1%,-42%,-27%,+15%
2020-03-29,US,United States,Texas,Waller County,-30%,-22%,n/a,-22%,-33%,+20%
2020-03-29,US,United States,Texas,Ward County,-34%,-16%,n/a,+35%,-15%,n/a
2020-03-29,US,United States,Texas,Washington County,-25%,-14%,n/a,n/a,-27%,-2%
2020-03-29,US,United States,Texas,Webb County,-55%,-38%,-78%,-43%,-35%,+16%
2020-03-29,US,United States,Texas,Wharton County,-25%,-36%,n/a,-36%,-20%,+15%
2020-03-29,US,United States,Texas,Wheeler County,-41%,n/a,n/a,n/a,n/a,n/a
2020-03-29,US,United States,Texas,Wichita County,-50%,-30%,-11%,-24%,-32%,+11%
2020-03-29,US,United States,Texas,Wilbarger County,-20%,-12%,n/a,-17%,-9%,n/a
2020-03-29,US,United States,Texas,Willacy County,-51%,-36%,n/a,n/a,-34%,n/a
2020-03-29,US,United States,Texas,Williamson County,-49%,-29%,-14%,-41%,-43%,+14%
2020-03-29,US,United States,Texas,Wilson County,-33%,-55%,-20%,n/a,-32%,+19%
2020-03-29,US,United States,Texas,Winkler County,-29%,-23%,n/a,+75%,-14%,n/a
2020-03-29,US,United States,Texas,Wise County,-27%,-11%,+8%,-16%,-31%,+15%
2020-03-29,US,United States,Texas,Wood County,-21%,+7%,n/a,n/a,-28%,+12%
2020-03-29,US,United States,Texas,Yoakum County,-39%,-12%,n/a,n/a,-30%,n/a
2020-03-29,US,United States,Texas,Young County,-18%,-4%,n/a,n/a,-28%,n/a
2020-03-29,US,United States,Texas,Zapata County,-42%,-19%,n/a,n/a,-44%,n/a
2020-03-29,US,United States,Texas,Zavala County,-49%,-25%,n/a,n/a,-31%,n/a
2020-03-29,US,United States,California,Alameda County,-58%,-27%,-14%,-64%,-44%,+17%
2020-03-29,US,United States,California,Amador County,-41%,-20%,-50%,n/a,-44%,+0%
2020-03-29,US,United States,California,Butte County,-45%,-16%,-23%,-45%,-34%,+11%
2020-03-29,US,United States,California,Calaveras County,-42%,-12%,-28%,n/a,-39%,+10%
2020-03-29,US,United States,California,Colusa County,-37%,-1%,n/a,-32%,-37%,n/a
2020-03-29,US,United States,California,Contra Costa County,-48%,-21%,-15%,-49%,-41%,+15%
2020-03-29,US,United States,California,Del Norte County,-31%,-11%,-26%,n/a,-29%,n/a
2020-03-29,US,United States,California,El Dorado County,-58%,-37%,-35%,-50%,-48%,+13%
2020-03-29,US,United States,California,Fresno County,-40%,-14%,-27%,-43%,-31%,+11%
2020-03-29,US,United States,California,Glenn County,-23%,-14%,-11%,-20%,-36%,+2%
2020-03-29,US,United States,California,Humboldt County,-48%,-23%,-10%,-48%,-35%,+11%
2020-03-29,US,United States,California,Imperial County,-53%,-31%,-65%,-62%,-32%,+16%
2020-03-29,US,United States,California,Inyo County,-75%,-37%,-35%,n/a,-39%,n/a
2020-03-29,US,United States,California,Kern County,-43%,-17%,-16%,-37%,-30%,+11%
2020-03-29,US,United States,California,Kings County,-34%,-14%,-12%,-43%,-27%,+10%
2020-03-29,US,United States,California,Lake County,-38%,-13%,-42%,-42%,-33%,+16%
2020-03-29,US,United States,California,Lassen County,-30%,-8%,n/a,n/a,-22%,n/a
2020-03-29,US,United States,California,Los Angeles County,-51%,-27%,-48%,-54%,-41%,+17%
2020-03-29,US,United States,California,Madera County,-39%,-25%,-20%,-30%,-30%,+11%
2020-03-29,US,United States,California,Marin County,-61%,-30%,-59%,-61%,-42%,+17%
2020-03-29,US,United States,California,Mariposa County,-75%,-23%,-72%,n/a,-45%,n/a
2020-03-29,US,United States,California,Mendocino County,-47%,-29%,-39%,-44%,-32%,+17%
2020-03-29,US,United States,California,Merced County,-34%,-18%,-1%,-37%,-26%,+11%
2020-03-29,US,United States,California,Modoc County,-59%,-9%,n/a,n/a,-26%,n/a
2020-03-29,US,United States,California,Mono County,-100%,-60%,-57%,n/a,-73%,n/a
2020-03-29,US,United States,California,Monterey County,-46%,-19%,-48%,-45%,-43%,+14%
2020-03-29,US,United States,California,Napa County,-53%,-34%,-24%,-45%,-51%,+18%
2020-03-29,US,United States,California,Nevada County,-56%,-26%,-48%,-73%,-41%,+15%
2020-03-29,US,United States,California,Orange County,-52%,-24%,-31%,-55%,-44%,+17%
2020-03-29,US,United States,California,Placer County,-52%,-27%,-2%,-55%,-44%,+13%
2020-03-29,US,United States,California,Plumas County,-30%,-8%,n/a,n/a,-25%,n/a
2020-03-29,US,United States,California,Riverside County,-43%,-20%,-44%,-41%,-39%,+14%
2020-03-29,US,United States,California,Sacramento County,-45%,-21%,-1%,-57%,-37%,+13%
2020-03-29,US,United States,California,San Benito County,-45%,-25%,-36%,n/a,-32%,+23%
2020-03-29,US,United States,California,San Bernardino County,-45%,-23%,-36%,-42%,-34%,+14%
2020-03-29,US,United States,California,San Diego County,-50%,-26%,-51%,-64%,-41%,+15%
2020-03-29,US,United States,California,San Francisco County,-75%,-37%,-55%,-66%,-53%,+21%
2020-03-29,US,United States,California,San Joaquin County,-41%,-16%,-16%,-31%,-30%,+12%
2020-03-29,US,United States,California,San Luis Obispo County,-56%,-29%,-27%,-58%,-45%,+13%
2020-03-29,US,United States,California,San Mateo County,-60%,-26%,-35%,-83%,-46%,+19%
2020-03-29,US,United States,California,Santa Barbara County,-47%,-17%,-30%,-51%,-40%,+13%
2020-03-29,US,United States,California,Santa Clara County,-62%,-33%,-22%,-71%,-48%,+17%
2020-03-29,US,United States,California,Santa Cruz County,-55%,-27%,-40%,-57%,-41%,+15%
2020-03-29,US,United States,California,Shasta County,-39%,-15%,-21%,-22%,-31%,+9%
2020-03-29,US,United States,California,Siskiyou County,-35%,-20%,-6%,+9%,-25%,+13%
2020-03-29,US,United States,California,Solano County,-45%,-21%,-18%,-37%,-34%,+13%
2020-03-29,US,United States,California,Sonoma County,-53%,-22%,-58%,-54%,-41%,+15%
2020-03-29,US,United States,California,Stanislaus County,-44%,-19%,-12%,-28%,-29%,+11%
2020-03-29,US,United States,California,Sutter County,-41%,-18%,-28%,-43%,-34%,+13%
2020-03-29,US,United States,California,Tehama County,-34%,-9%,-9%,-22%,-27%,+15%
2020-03-29,US,United States,California,Trinity County,-65%,-20%,n/a,n/a,-28%,n/a
2020-03-29,US,United States,California,Tulare County,-39%,-13%,-27%,-28%,-25%,+11%
2020-03-29,US,United States,California,Tuolumne County,-48%,-17%,-67%,n/a,-38%,+14%
2020-03-29,US,United States,California,Ventura County,-46%,-24%,-24%,-40%,-39%,+14%
2020-03-29,US,United States,California,Yolo County,-43%,-23%,+2%,-34%,-37%,+13%
2020-03-29,US,United States,California,Yuba County,-34%,-12%,+24%,-34%,-38%,+13%
2020-03-29,US,United States,Illinois,Adams County,-42%,-15%,n/a,-30%,-27%,+16%
2020-03-29,US,United States,Illinois,Alexander County,n/a,n/a,n/a,n/a,-30%,n/a
2020-03-29,US,United States,Illinois,Bond County,-36%,-2%,n/a,-5%,-21%,n/a
2020-03-29,US,United States,Illinois,Boone County,-41%,-23%,n/a,-65%,-38%,+21%
2020-03-29,US,United States,Illinois,Bureau County,-43%,-9%,n/a,n/a,-25%,+3%
2020-03-29,US,United States,Illinois,Carroll County,-60%,-9%,n/a,n/a,-32%,n/a
2020-03-29,US,United States,Illinois,Cass County,-21%,-10%,n/a,n/a,-6%,n/a
2020-03-29,US,United States,Illinois,Champaign County,-54%,-29%,+44%,-48%,-40%,+13%
2020-03-29,US,United States,Illinois,Christian County,-31%,-30%,n/a,n/a,-20%,+9%
2020-03-29,US,United States,Illinois,Clark County,-28%,n/a,n/a,-15%,-32%,n/a
2020-03-29,US,United States,Illinois,Clay County,-25%,n/a,n/a,n/a,-27%,n/a
2020-03-29,US,United States,Illinois,Clinton County,-28%,-4%,n/a,n/a,-29%,+14%
2020-03-29,US,United States,Illinois,Coles County,-35%,-11%,n/a,n/a,-27%,+18%
2020-03-29,US,United States,Illinois,Cook County,-58%,-26%,-45%,-63%,-45%,+15%
2020-03-29,US,United States,Illinois,Crawford County,-24%,+2%,n/a,n/a,-27%,n/a
2020-03-29,US,United States,Illinois,Cumberland County,-65%,n/a,n/a,-23%,-33%,n/a
2020-03-29,US,United States,Illinois,De Witt County,-65%,-29%,n/a,n/a,-22%,n/a
2020-03-29,US,United States,Illinois,DeKalb County,-52%,-20%,n/a,n/a,-37%,+14%
2020-03-29,US,United States,Illinois,Douglas County,-53%,-3%,n/a,n/a,-30%,n/a
2020-03-29,US,United States,Illinois,DuPage County,-60%,-29%,-42%,-51%,-45%,+15%
2020-03-29,US,United States,Illinois,Edgar County,-25%,-20%,n/a,n/a,-38%,n/a
2020-03-29,US,United States,Illinois,Edwards County,n/a,n/a,n/a,n/a,-39%,n/a
2020-03-29,US,United States,Illinois,Effingham County,-42%,-2%,n/a,-26%,-36%,+12%
2020-03-29,US,United States,Illinois,Fayette County,-33%,-16%,n/a,n/a,-19%,n/a
2020-03-29,US,United States,Illinois,Ford County,-59%,-18%,n/a,n/a,-22%,n/a
2020-03-29,US,United States,Illinois,Franklin County,-17%,+9%,n/a,-34%,-28%,+14%
2020-03-29,US,United States,Illinois,Fulton County,-37%,-19%,n/a,n/a,-26%,+17%
2020-03-29,US,United States,Illinois,Greene County,-46%,-2%,n/a,n/a,-21%,n/a
2020-03-29,US,United States,Illinois,Grundy County,-43%,-24%,n/a,-22%,-34%,+19%
